"calendarId","title","body","start","location","category","type","lat","lon"
"rladies-bucharest","Lansare R-Ladies Bucharest Community #1","<i class='fa fa-users'></i>&emsp;19<br><br><p>Sunt super entuziasmată să te invit la primul eveniment din România R-Ladies Bucharest de pe 17 Septembrie!</p> <p>Pentru prima întâlnire, am pregătit o agendă de start în care ne vom cunoaște. Ne dorim să găzduim workshopuri și să creăm o comunitate de entuziaști care împreuna să dezvolte proiec...  <br><br> <a href='https://www.meetup.com/rladies-bucharest/events/264438688/' target='_blank'><button class='button'>Event page</button></a>",2019-09-17 18:30:00,"V7 Startup Studio, Strada George Enescu Nr.11, București, RO","time","past",44.4426651000977,26.0956573486328
"rladies-bucharest","R-Ladies Bucharest Community #2","<i class='fa fa-users'></i>&emsp;22<br><br><p>Continuam seria evenimentelor R-Ladies Bucharest cu o noua întâlnire pe 22 Octombrie!</p> <p>În această întâlnire, avem ocazia să o cunoaștem pe Ana-Maria Ciuhu care vine sa ne vorbească despre utilizarea R în statistica oficială, în domeniul social.</p> <p>Ana-Maria Ciuhu este promotor al utiliz...  <br><br> <a href='https://www.meetup.com/rladies-bucharest/events/265386597/' target='_blank'><button class='button'>Event page</button></a>",2019-10-22 19:10:00,"V7 Startup Studio, Strada George Enescu Nr.11, București, RO","time","past",44.4425506591797,26.095775604248
"rladies-bucharest","R-Ladies Bucharest Community #3","<i class='fa fa-users'></i>&emsp;13<br><br><p>Continuăm seria evenimentelor R-Ladies Bucharest cu o noua întâlnire Marți, 26 Noiembrie!</p> <p>-----------------------------------------------------------------------<br/>Agendă<br/>19:00 Înregistrare<br/>19:10 Introducere, Ines Teacă - R Ladies Bucharest Chapter Lead<br/>19:15 #tidytuesday 'Wo...  <br><br> <a href='https://www.meetup.com/rladies-bucharest/events/266186841/' target='_blank'><button class='button'>Event page</button></a>",2019-11-26 19:00:00,"V7 Startup Studio, Strada George Enescu Nr.11, București, RO","time","past",44.4425506591797,26.095775604248
"rladies-bucharest","R-Ladies Bucharest Community #4","<i class='fa fa-users'></i>&emsp;13<br><br><p>Ultima întâlnire de anul acesta este dedicată discuțiilor de retrospectivă de an și planurilor 2020!<br/>În plus, Alexandra Ioana Conda vine să ne facă o introducere în ML folosind pachetul Caret.<br/>Nu vine oricum, aduce un set de date de pe Kaggle despre vinuri - Wine Reviews de la WineEnthusi...  <br><br> <a href='https://www.meetup.com/rladies-bucharest/events/266830015/' target='_blank'><button class='button'>Event page</button></a>",2019-12-17 19:00:00,"V7 Startup Studio, Strada George Enescu Nr.11, București, RO","time","past",44.4425506591797,26.095775604248
"rladies-bucharest","R-Ladies Bucharest Community #5 - rstudio::conf 2020 Watch Party","<i class='fa fa-users'></i>&emsp;17<br><br><p>Începem anul cu o întâlnire de socializare și improspătare a ideilor urmărind primele prezentări din streamul #rstudioconf2020.</p> <p>Streamurile anuntate de organizatori sunt:<br/>- Welcome to rstudio::conf 2020 - host Hadley Wickham, Chief Scientist of RStudio<br/>- Open Source Software for Da...  <br><br> <a href='https://www.meetup.com/rladies-bucharest/events/266953887/' target='_blank'><button class='button'>Event page</button></a>",2020-01-29 18:00:00,"V7 Startup Studio, Strada George Enescu Nr.11, București, RO","time","past",44.4425506591797,26.095775604248
"rladies-bucharest","Joint meetup: R-Ladies Bucharest & R Project R-omania Team","<i class='fa fa-users'></i>&emsp;17<br><br><p>În Februarie, ne întâlnim cu prietenii din comunitatea R-omania team! In plus, prietenii de la eSolutions ne-au invitat la ei ca sa avem spatiu pentru toate ideile si dezbaterea unui subiect de interes: R &amp; Excel Reports.</p> <p>Andrei Deușteanu [About: <a href=""http://tiny.cc/RExcel"" class=""...  <br><br> <a href='https://www.meetup.com/rladies-bucharest/events/268092944/' target='_blank'><button class='button'>Event page</button></a>",2020-02-11 18:45:00,"eSolutions Academy, Strada General Constantin Budișteanu 28C, București, RO","time","past",44.4425315856934,26.0911045074463
"rladies-bucharest","R-Ladies Bucharest Community #7 - International Women Day Celebration","<i class='fa fa-users'></i>&emsp;7<br><br><p>Vrem sa sărbătorim împreună ziua internațională a femeii cu grafice despre femei din România realizate cu R! #rladiesbucharest #IWD si mutam evenimentul ONLINE pentru a elimina orice risc! Revenim maine cu toate detaliile de participare.</p> <p>Numărul de locuri va fi limitat.</p> <p>------------...  <br><br> <a href='https://www.meetup.com/rladies-bucharest/events/268718222/' target='_blank'><button class='button'>Event page</button></a>",2020-03-10 19:00:00,"V7 Startup Studio, Strada George Enescu Nr.11, București, RO","time","past",44.4425506591797,26.095775604248
"rladies-bucharest","R-Ladies Bucharest Community #8 ","<i class='fa fa-users'></i>&emsp;22<br><br><p>Ne revedem ONLINE să povestim despre R , ca de obicei marțea seară, dar de data aceasta pe zoom!</p> <p>Mihai David, data scientist în industria bancară, vine să ne prezinte cum a gândit construirea unui model de credit risc folosind R și k-nearest neighbours. În activitatea lui folosește instrum...  <br><br> <a href='https://www.meetup.com/rladies-bucharest/events/270178279/' target='_blank'><button class='button'>Event page</button></a>",2020-04-28 19:00:00,"Online event, NA, NA, ","time","past",NA,NA
"rladies-bucharest","R-Ladies Bucharest Community #9","<i class='fa fa-users'></i>&emsp;17<br><br><p>Ne revedem ONLINE să povestim despre R , ca de obicei marțea seară, pe zoom!<br/>Continuăm întâlnirile noastre cu special guests! Cristi Cernat, Solution Architect Software and Electronics @ Delphi Technologies, vine să ne vorbească despre Docker și R, o prezentare care ne introduce elementele de...  <br><br> <a href='https://www.meetup.com/rladies-bucharest/events/270587850/' target='_blank'><button class='button'>Event page</button></a>",2020-05-26 19:00:00,"Online event, NA, NA, ","time","past",NA,NA
"rladies-bucharest","R-Ladies Bucharest Community #10","<i class='fa fa-users'></i>&emsp;17<br><br><p>Am citit la un moment dat pe unul din blogurile pe care le citesc că dacă îți dorești să ajungi data scientist, scrie un blog! ( David Robinson) Așa că am început să citesc mai multe bloguri de data scientisti și așa am descoperit blogul lui Rebecca Barter: Data meets Narrative!</p> <p>Acum că aj...  <br><br> <a href='https://www.meetup.com/rladies-bucharest/events/271020664/' target='_blank'><button class='button'>Event page</button></a>",2020-06-30 19:00:00,"Online event, NA, NA, ","time","past",NA,NA
